Section Name,Item Name,Comment Name,Comment Text,"Comment Type (info, limit, defect)","Category (-1: Low, 0: Med, 1: High)",Multiple Choice Options (comma-separated),"Unit Type Options (numeric answers only, comma-separated)",Recommendation (from list),Order (w/i item),"Answer Type (boolean, checkbox, date, number, range, text)",Default Value,"Default Value 2 (for ""range"" types)","Default Unit Type (for ""number"" and ""range"" types)",Default Location,Default Estimate Min,Default Estimate Max,Locked,Simple Format,Disable Photos,Uses,Default Photo 1,Default Photo 1 Caption,Default Photo 2,Default Photo 2 Caption,Default Photo 3,Default Photo 3 Caption,Default Photo 4,Default Photo 4 Caption,Default Photo 5,Default Photo 5 Caption,Default Photo 6,Default Photo 6 Caption,Default Photo 7,Default Photo 7 Caption,Default Photo 8,Default Photo 8 Caption,Default Photo 9,Default Photo 9 Caption,Default Photo 10,Default Photo 10 Caption,Last Modified
Attic,Thermal Insulation,"Access hatch lid, no insulation",The attic access hatch cover was not insulated. The Inspector recommends insulating the attic access hatch cover to reduce unwanted heat loss/gain.,defect,-1,,,pro,0,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Access hatch type and location,,info,,"Ceiling hatch, Wall hatch, Pull-down ladder, Garage, Mechanical room, Utility room, Upstairs hallway, Main floor hallway, Bedroom closet, Master bedroom closet, Bedroom, Exterior gable end, Laundry room",,pro,0,checkbox,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: access hatch too small,"The access hatch to the attic was too small to provide safe entry. The attic was inspected from the hatch only. The Inspection company disclaims responsibility for identifying any deficiencies that were not readily visible from the access hatch. Because attics may contain potential fire or health hazards, other safety or mechanical issues, or damage, the attic should be inspected by a qualified inspector after safe access to the attic is provided.",limit,,,,pro,0,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: attic storage limited access,"The occupant's belongings were stored in the attic and blocked access to and view of portions of the attic. Because attics may contain potential fire or health hazards, other safety or mechanical issues, or damage, the attic should be inspected by a qualified inspector after access to the entire attic is provided. The Inspection company disclaims responsibility for identifying any deficiencies that were not readily visible during  inspection.",limit,,,,pro,1,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: closet shelving blocked access,"The Inspector was unable to enter the attic space without risking damage to installed shelving. Removing shelving exceeds the scope of the General Home Inspection and the attic inspection was limited to evaluation from the access hatch. The Inspection company disclaims responsibility for identifying any deficiencies that were not readily visible during  inspection. Because attics may contain potential fire or health hazards, other safety or mechanical issues, or damage, the attic should be inspected by a qualified inspector after access to the attic is provided.",limit,,,,pro,2,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: closet storage blocked access,"The attic access hatch was located in a closet and access was blocked by the occupant's belongings. Moving stored items lies beyond the scope of the General Home Inspection and the attic was not inspected. The Inspection company disclaims responsibility for identifying any deficiencies that were not readily visible during  inspection. Because attics may contain potential fire or health hazards, other safety or mechanical issues, or damage, the attic should be inspected by a qualified inspector after access to the attic is provided.",limit,,,,pro,3,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: flat roof- no inspection,"The home had a flat roof which had no attic space and no access hatch was provided for inspection of roof framing, electrical or other components. The Inspection company disclaims responsibility for identifying any deficiencies that were not readily visible during  inspection.",limit,,,,pro,4,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: inadequate headroom,"The attic space lacked adequate headroom for safe entry. As a result, entering the attic space lies beyond the scope of the General Home Inspection and it was inspected from the hatch only. The Inspection company disclaims responsibility for identifying any deficiencies that were not readily visible during  inspection. ",limit,,,,pro,5,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,"Attic access: low slope roof, no inspection",The home had a low-slope roof which had no attic space. The Inspection company disclaims responsibility for identifying any deficiencies that were not readily visible during  inspection. ,limit,,,,pro,6,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: no access hatch ,"No access hatch was provided through which to view components in the attic space. The Inspection company disclaims identification of any potential fire or health hazards, other safety or mechanical issues, damage, or other problems, the identification of which would require entry into the attic space. The attic should be inspected by a qualified inspector after access is provided.",limit,,,,pro,7,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: no attic light,"No light was provided in the attic. For safety reasons, a light with a switch located within 6 feet (1829 mm) of the entry hatch should be provided by a qualified electrical contractor. ",limit,,,,pro,8,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: no attic light/walkway installed, No attic lights or walkway were installed to provide access to the attic space.,limit,,,,pro,9,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic access: no attic walkway,No walkway was provided in the attic. Persons entering the attic must walk on ceiling or roof framing members that are often hidden from view beneath insulation. This activity can be difficult and/or hazardous. A walkway should be installed by a qualified contractor that complies with modern safety requirements.,limit,,,,pro,10,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,"Attic access: pull-down ladder, non-functional",The pull-down ladder providing access to the attic was not functional at the time of the inspection. The pull-down ladder should be repaired or replaced by a qualified contractor.,defect,0,,,pro,0,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,"Attic access: vaulted ceilings, no inspection","Vaulted ceilings in the home had no attic space and no access hatch was provided for inspection of roof framing, electrical or other components. The Inspection company disclaims any responsibility for identifying any deficiencies that were not readily visible during  inspection.",limit,,,,pro,11,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
